superficieEtage1,superficieEtage2,typeAlleeAcces,nbChambres,typeBatiment,conditionSousSol,expositionSousSol,superficieFinieSousSol1,superficieFinieSousSol2,qualiteSurfaceFinieSousSol1,superficieSousSolNonAmenagee,climatisation,proxRoute1,systElectrique,superficiePorcheFerme,conditionExterieur,qualiteExterieur,materiauExterieur1,materiauExterieur2,cloture,qualiteCheminee,nbCheminees,fondation,superficieGarage,nbPlacesVoiture,conditionGarage,interieurGarage,qualiteGarage,typeGarage,anneeConstrGarage,superficieHabitableSaufSs,chauffage,qualiteChauffage,styleBatiment,nbCuisines,qualiteCuisine,superficieTerrain,configTerrain,longTerrainRue,formeTerrain,typeClasseBatiment,zonage,superficiePlacageMaconnerie,typePlacageMaconnerie,elementsDivers,valeursElementsDivers,moisVente,quartier,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,alleePavee,materiauToit,styleToit,conditionVente,prix,typeVente,superficieSolarium,nbPieces,superficieTotaleSousSol,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente,taux_inflation,ames_taux_criminalite,moyenne_indice_prix_logements,superficieTotale,autoroute,proximite_gare,proximite_parc,nbTotalSallesBain,noteGlobale,noteMoyenne,hauteurSs
1000-1500 m2,501-1000 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Salle de récréation moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Bonne intimité,Bon,2,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Fini,Typique/Moyenne,Garage Attaché à la maison,1960-1969,200-250 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en coin,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,5,North Ames,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,207431.98464,Vente Garantie Conventionnelle,Pas de solarium,8,75-100 m2,< 10 m2,1960-1970,1960-1970,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,2.5,13,6.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,1001-1500 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Moyenne,1,Fondation Béton,30-40 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage encastré,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en coin,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,7,Gilbert,< 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,223953.11616,Vente Garantie Conventionnelle,Pas de solarium,7,75-100 m2,< 10 m2,2000-2005,2000-2005,2009,-0.3555,309.5867,167.9225,200-300,Non,Non,Non,3.5,11,5.5,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Salle de récréation moyenne,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Qualité inconnue,0,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1970-1979,100-150 m2,Chauffage air pulsé,Bon,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,7,North Ames,0,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,138364.47648,Vente Garantie Conventionnelle,Pas de solarium,7,75-100 m2,0,1950-1960,2000-2005,2007,2.8527,387.4317,167.6625,200-300,Non,Non,Non,2.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,1000-1500 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,100-150 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,6,Autre quartier,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,201924.9408,Vente Garantie Conventionnelle,Pas de solarium,6,100-150 m2,10-20 m2,2000-2005,2000-2005,2009,-0.3555,309.5867,167.9225,200-300,Non,Non,Non,3.0,13,6.5,Hauteur sous-sol > 2.5 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Salle de récréation moyenne,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,101-200 m2,Qualité moyenne,Qualité moyenne,Contreplaqué,Contreplaqué,Intimité minimale,Moyenne,1,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1960-1969,150-200 m2,Chauffage air pulsé,Bon,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,7,Sawyer,> 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,165211.3152,Vente Garantie Conventionnelle,Pas de solarium,7,100-150 m2,0,1960-1970,1990-1995,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,2.5,11,5.5,Hauteur sous-sol 2 - 2.2 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,1000-1500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Contreplaqué,Contreplaqué,Intimité minimale,Bon,1,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,150-200 m2,Chauffage air pulsé,Bon,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,5,Northwest Ames,0,3,4,Pavée,Bardeau composite,Toit pyramidal,Vente normale,159704.27135999998,Vente Garantie Conventionnelle,Pas de solarium,7,100-150 m2,< 10 m2,1970-1980,1970-1980,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,2.0,13,6.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Quartiers de vie sous la moyenne,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Médiocre,1,Fondation Ciment,20-30 m2,1.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1960-1969,100-150 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,7,North Ames,> 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,131251.21152,Vente Garantie Conventionnelle,Pas de solarium,5,100-150 m2,0,1960-1970,1960-1970,2007,2.8527,387.4317,167.6625,200-300,Non,Non,Non,2.0,10,5.0,Hauteur sous-sol 2 - 2.2 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,5,Duplex,Condition Ss Bonne,Aucune exposition,0,0,Non fini,1500-2336 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Ciment,60-80 m2,3.0,Condition garage bonne,Non fini,Typique/Moyenne,Autre type garage,1980-1989,150-200 m2,Chauffage air pulsé,Bon,Bat 1 Etage,2,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe Autre,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,7,Autre quartier,0,3,4,Pavée,Bardeau composite,Toit à pignon,Vente entre membres de la famille,156950.74944,Vente Garantie Conventionnelle,Pas de solarium,9,> 150 m2,0,1985-1990,1985-1990,2006,3.2259,279.7815,163.425,300-400,Non,Non,Non,3.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,501-1000 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition minimale,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Bonne intimité,Moyenne,2,Fondation Béton,60-80 m2,3.0,Condition garage bonne,Fini,Typique/Moyenne,Garage Attaché à la maison,1990-1999,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,12,College Creek,> 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,211103.3472,Vente Garantie Conventionnelle,Pas de solarium,7,75-100 m2,> 20 m2,1995-2000,2000-2005,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,2.5,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Intimité minimale,Qualité inconnue,0,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1990-1999,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 11 et 20 m,Irrégulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,8,College Creek,> 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,212480.10816,Vente Garantie Conventionnelle,Pas de solarium,7,75-100 m2,> 20 m2,1995-2000,1995-2000,2009,-0.3555,309.5867,167.9225,200-300,Non,Non,Non,3.5,11,5.5,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Quartiers de vie moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Pas de clôture,Faible,1,Fondation Ciment,0,0.0,Condition garage autre,Finition inconnue,Qualité inconnue,No Garage,Pas de garage,75-100 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain avec façade sur plusieurs côtés,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,4,North Ames,0,3,2,Pavée,Bardeau composite,Toit à pignon,Vente normale,105551.6736,Type Vente Autre,Pas de solarium,5,75-100 m2,0,1970-1980,1970-1980,2010,1.64,306.1383,166.13,< 200,Non,Non,Non,1.0,9,4.5,Hauteur sous-sol 2 - 2.2 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition moyenne,1000-1500 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,60-80 m2,2.0,Condition garage bonne,Fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,1,College Creek,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,238638.5664,Vente Garantie Conventionnelle,Pas de solarium,7,> 150 m2,10-20 m2,2005 et plus,2005-2010,2006,3.2259,279.7815,163.425,300-400,Non,Non,Non,3.0,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,1-500 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Salle de récréation moyenne,< 500 m2,Oui,Autoroute,Boîte à disjoncteurs,Pas de porche fermé,Rénovation recommandée,Qualité moyenne,Autre matériau extérieur,Bois,Intimité minimale,Qualité inconnue,0,Fondation Ciment,60-80 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,2000-2009,100-150 m2,Chauffage air pulsé,Mauvais,Bat 1.5 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 21 et 30 m,Régulière,Classe Autre,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,6,North Ames,0,2,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,152361.54624,Vente Garantie Conventionnelle,Pas de solarium,6,75-100 m2,0,1950-1960,1950-1960,2010,1.64,306.1383,166.13,200-300,Oui,Non,Non,2.0,9,4.5,Hauteur sous-sol 2 - 2.2 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Bonne exposition,500-1000 m2,0,Bonne qualité de vie,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1990-1999,100-150 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,6,College Creek,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,187239.49056,Vente Garantie Conventionnelle,Pas de solarium,6,100-150 m2,10-20 m2,1995-2000,1995-2000,2009,-0.3555,309.5867,167.9225,200-300,Non,Non,Non,3.0,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,6,Duplex,Condition Ss Bonne,Aucune exposition,1000-1500 m2,0,Salle de récréation moyenne,< 500 m2,Oui,Priximité gare,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Pas de clôture,Qualité inconnue,0,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,1960-1969,150-200 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,2,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe Autre,Haute et moyenne densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,11,Sawyer,0,3,3,Pavée,Bardeau composite,Toit à pignon,"Echange, saisie, vente rapide",114730.08,Type Vente Autre,Pas de solarium,10,> 150 m2,0,1960-1970,1960-1970,2006,3.2259,279.7815,163.425,300-400,Non,Oui,Non,3.0,10,5.0,Hauteur sous-sol 2 - 2.2 m
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,3,Autre Type Batiment,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,30-40 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Détaché de la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 201 et 500 m2,Terrain intérieur,Moins de 10 m,Régulière,Classe 1946 et plus recent,Haute et moyenne densité,< 200 m2,Placage pierre,Non défini,Pas d elements divers,4,Edwards,< 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,119319.2832,Vente Garantie Conventionnelle,Pas de solarium,7,75-100 m2,0,2000-2005,2005-2010,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,2.0,11,5.5,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Quartiers de vie sous la moyenne,500-1000 m2,Oui,Route ville,Boîte à fusibles,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Bois,Bois,Pas de clôture,Qualité inconnue,0,Fondation Brique,< 20 m2,1.0,Condition garage bonne,Non fini,Faible,Détaché de la maison,Avant 1950,75-100 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Régulière,Classe 1945 et plus ancien,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,11,Autre quartier,0,4,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,96373.2672,Vente Garantie Conventionnelle,Pas de solarium,5,50-75 m2,< 10 m2,1925-1950,1990-1995,2009,-0.3555,309.5867,167.9225,< 200,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2 - 2.2 m
500-1000 m2,1001-1500 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,40-60 m2,2.0,Condition garage bonne,Fini,Typique/Moyenne,Garage encastré,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 2 Etages,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en cul-de-sac,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,5,Gilbert,< 5 m2,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,204219.5424,Vente Garantie Conventionnelle,Pas de solarium,8,75-100 m2,10-20 m2,2000-2005,2000-2005,2010,1.64,306.1383,166.13,200-300,Non,Non,Non,2.5,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,500-1000 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Vinyle,Vinyle,Pas de clôture,Qualité inconnue,0,Fondation Béton,0,0.0,Condition garage autre,Finition inconnue,Qualité inconnue,No Garage,Pas de garage,100-150 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 11 et 20 m,Régulière,Classe 1946 et plus recent,Basse densité,< 200 m2,Placage brique,Non défini,Pas d elements divers,4,Autre quartier,0,3,4,Pavée,Bardeau composite,Toit à pignon,Vente normale,129415.53024,Vente Garantie Conventionnelle,Pas de solarium,6,100-150 m2,0,2000-2005,2005-2010,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,2.0,12,6.0,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,1-500 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Oui,Route ville,Boîte à fusibles,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Métal,Métal,Pas de clôture,Qualité inconnue,0,Fondation Brique,20-30 m2,1.0,Condition garage bonne,Non fini,Faible,Détaché de la maison,Avant 1950,100-150 m2,Chauffage air pulsé,Bon,Bat 1.5 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe Autre,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,4,Autre quartier,> 5 m2,2,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,105551.6736,Vente Garantie Conventionnelle,Pas de solarium,7,75-100 m2,10-20 m2,1925-1950,1950-1960,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,1.0,9,4.5,Hauteur sous-sol 2.3 - 2.5 m
500-1000 m2,0 m2,Pas d'accès à l'allée,3,Unifamilial,Condition Ss Bonne,Exposition moyenne,500-1000 m2,0,Quartiers de vie sous la moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Intimité minimale,Qualité inconnue,0,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Non fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,75-100 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Plus de 31 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,1,College Creek,0,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,111976.55808,Vente Garantie Conventionnelle,Pas de solarium,5,75-100 m2,0,1970-1980,1970-1980,2007,2.8527,387.4317,167.6625,< 200,Non,Non,Non,1.5,11,5.5,Hauteur sous-sol 2 - 2.2 m
1500-2000 m2,0 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Bonne exposition,1000-1500 m2,0,Bonne qualité de vie,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité bonne,Vinyle,Vinyle,Pas de clôture,Bon,1,Fondation Béton,> 80 m2,3.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,2000-2009,150-200 m2,Chauffage air pulsé,Excellent,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Plus de 31 m,Régulière,Classe 1946 et plus recent,Basse densité,400-600 m2,Placage pierre,Non défini,Pas d elements divers,1,Northridge Heights,> 5 m2,3,4,Pavée,Bardeau composite,Toit pyramidal,Maison pas terminée,341805.69001728,Vente Nouvelle construction,Pas de solarium,6,> 150 m2,0,2005 et plus,2005-2010,2008,3.8391,313.1278,167.5975,300-400,Non,Non,Non,3.0,13,6.5,Hauteur sous-sol > 2.5 m
1000-1500 m2,501-1000 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Aucune exposition,< 500 m2,0,Salle de récréation moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Panneau dur,Panneau dur,Bois de bonne qualité,Bon,1,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1970-1979,150-200 m2,Chauffage air pulsé,Bon,Bat 2 Etages,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en cul-de-sac,Entre 21 et 30 m,Irrégulière,Classe 1946 et plus recent,Basse densité,200-400 m2,Placage brique,Non défini,Pas d elements divers,6,Northwest Ames,> 5 m2,3,3,Pavée,Bardeau composite,Toit à pignon,Vente normale,174389.7216,Vente Garantie Conventionnelle,Pas de solarium,8,75-100 m2,0,1970-1980,1970-1980,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,2.5,11,5.5,Hauteur sous-sol 2 - 2.2 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,1,Unifamilial,Condition Ss Bonne,Bonne exposition,< 500 m2,1000-1500 m2,Quartiers de vie sous la moyenne,< 500 m2,Oui,Route ville,Boîte à disjoncteurs,Pas de porche fermé,Qualité moyenne,Qualité moyenne,Autre matériau extérieur,Contreplaqué,Pas de clôture,Bon,1,Fondation Ciment,40-60 m2,2.0,Condition garage bonne,Pas parfaitement fini,Typique/Moyenne,Garage Attaché à la maison,1960-1969,100-150 m2,Chauffage air pulsé,Bon,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain intérieur,Entre 21 et 30 m,Régulière,Classe 1946 et plus recent,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,3,Autre quartier,0,4,3,Pavée,Bardeau composite,Toit autre,Vente normale,215692.5504,Vente Garantie Conventionnelle,Pas de solarium,4,100-150 m2,> 20 m2,1960-1970,1970-1980,2008,3.8391,313.1278,167.5975,200-300,Non,Non,Non,2.0,13,6.5,Hauteur sous-sol 2.3 - 2.5 m
1000-1500 m2,0 m2,Pas d'accès à l'allée,4,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,1000-1500 m2,Oui,Route ville,Boîte à fusibles,201-300 m2,Qualité moyenne,Qualité moyenne,Bois,Bois,Pas de clôture,Qualité inconnue,0,Fondation Brique,20-30 m2,1.0,Condition garage autre,Non fini,Faible,Détaché de la maison,Avant 1950,100-150 m2,Chauffage air pulsé,Moyen/Typique,Bat 1 Etage,1,Qualité cusine bonne,Entre 1001 et 2000 m2,Terrain en coin,Entre 21 et 30 m,Régulière,Classe 1945 et plus ancien,Haute et moyenne densité,0,Aucun placage,Non défini,Pas d elements divers,3,Old Town,0,3,3,Pavée,Bardeau composite,Toit à pignon,Vente entre membres de la famille,114730.08,Vente Garantie Conventionnelle,Pas de solarium,7,100-150 m2,0,1900-1925,1950-1960,2006,3.2259,279.7815,163.425,200-300,Non,Non,Non,1.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
500-1000 m2,501-1000 m2,Pas d'accès à l'allée,2,Unifamilial,Condition Ss Bonne,Aucune exposition,0,0,Non fini,500-1000 m2,Non,Autoroute,Boîte à fusibles,101-200 m2,Qualité moyenne,Qualité moyenne,Bois,Bois,Pas de clôture,Qualité inconnue,0,Fondation Brique,0,0.0,Condition garage autre,Finition inconnue,Qualité inconnue,No Garage,Pas de garage,100-150 m2,Chauffage Autre,Mauvais,Bat 1.5 Etage,1,Qualité cusine bonne,Entre 501 et 1000 m2,Terrain en coin,Entre 11 et 20 m,Régulière,Classe Autre,Basse densité,0,Aucun placage,Non défini,Pas d elements divers,4,Edwards,< 5 m2,3,3,Terre/Gravier,Bardeau composite,Toit à pignon,Vente normale,72509.41056,Vente Garantie Conventionnelle,Pas de solarium,5,50-75 m2,0,1900-1925,1950-1960,2008,3.8391,313.1278,167.5975,< 200,Oui,Non,Non,1.0,11,5.5,Hauteur sous-sol 2 - 2.2 m
